date,price
10-11-2021,1.3412
11-11-2021,1.3365
12-11-2021,1.3405
13-11-2021,1.3415
14-11-2021,1.3415
15-11-2021,1.3409
16-11-2021,1.3425
17-11-2021,1.3489
18-11-2021,1.3499
19-11-2021,1.3447
20-11-2021,1.3445
21-11-2021,1.3434
22-11-2021,1.3397
23-11-2021,1.3375
24-11-2021,1.3329
25-11-2021,1.3313
26-11-2021,1.3342
27-11-2021,1.3345
28-11-2021,1.334
29-11-2021,1.3315
30-11-2021,1.3296
01-12-2021,1.3278
02-12-2021,1.33
03-12-2021,1.3233
04-12-2021,1.3239
05-12-2021,1.3235
06-12-2021,1.3262
07-12-2021,1.3246
08-12-2021,1.3208
09-12-2021,1.3223
10-12-2021,1.327
11-12-2021,1.327
12-12-2021,1.3256
13-12-2021,1.3213
14-12-2021,1.3229
15-12-2021,1.3263
16-12-2021,1.3323
17-12-2021,1.3235
18-12-2021,1.3247
19-12-2021,1.3228
20-12-2021,1.321
21-12-2021,1.3269
22-12-2021,1.3353
23-12-2021,1.3406
24-12-2021,1.3385
25-12-2021,1.3387
26-12-2021,1.3404
27-12-2021,1.3442
28-12-2021,1.3433
29-12-2021,1.3496
30-12-2021,1.3497
31-12-2021,1.3532
01-01-2022,1.3532
02-01-2022,1.3522
03-01-2022,1.3482
04-01-2022,1.3531
05-01-2022,1.3556
06-01-2022,1.3534
07-01-2022,1.3589
08-01-2022,1.3589
09-01-2022,1.3591
10-01-2022,1.358
11-01-2022,1.3633
12-01-2022,1.3706
13-01-2022,1.3712
14-01-2022,1.3675
15-01-2022,1.3675
16-01-2022,1.3673
17-01-2022,1.3648
18-01-2022,1.3599
19-01-2022,1.3608
20-01-2022,1.3597
21-01-2022,1.3556
22-01-2022,1.3556
23-01-2022,1.3554
24-01-2022,1.3487
25-01-2022,1.351
26-01-2022,1.3467
27-01-2022,1.3387
28-01-2022,1.34
29-01-2022,1.3405
30-01-2022,1.3398
31-01-2022,1.3446
01-02-2022,1.3524
02-02-2022,1.3564
03-02-2022,1.3599
04-02-2022,1.3531
05-02-2022,1.3538
06-02-2022,1.3533
07-02-2022,1.3537
08-02-2022,1.3547
09-02-2022,1.3533
10-02-2022,1.3551
11-02-2022,1.3559
12-02-2022,1.3563
13-02-2022,1.3571
14-02-2022,1.3532
15-02-2022,1.3541
16-02-2022,1.3584
17-02-2022,1.3618
18-02-2022,1.3594
19-02-2022,1.3594
20-02-2022,1.3592
21-02-2022,1.3594
22-02-2022,1.3589
23-02-2022,1.3545
24-02-2022,1.3372
25-02-2022,1.3408
26-02-2022,1.3408
27-02-2022,1.3373
28-02-2022,1.3422
01-03-2022,1.3332
02-03-2022,1.3396
03-03-2022,1.335
04-03-2022,1.3227
05-03-2022,1.3227
06-03-2022,1.3209
07-03-2022,1.3113
08-03-2022,1.3098
09-03-2022,1.3183
10-03-2022,1.3104
11-03-2022,1.3034
12-03-2022,1.3039
13-03-2022,1.3052
14-03-2022,1.301
15-03-2022,1.3046
16-03-2022,1.3141
17-03-2022,1.3157
18-03-2022,1.3181
19-03-2022,1.3181
20-03-2022,1.3159
21-03-2022,1.3168
22-03-2022,1.3263
23-03-2022,1.3206
24-03-2022,1.3195
25-03-2022,1.3202
26-03-2022,1.3191
27-03-2022,1.3173
28-03-2022,1.31
29-03-2022,1.3098
30-03-2022,1.3138
31-03-2022,1.3148
01-04-2022,1.3114
02-04-2022,1.3114
03-04-2022,1.3105
04-04-2022,1.3112
05-04-2022,1.3079
06-04-2022,1.307
07-04-2022,1.3071
08-04-2022,1.3035
09-04-2022,1.3035
10-04-2022,1.3038
11-04-2022,1.3028
12-04-2022,1.3001
13-04-2022,1.3118
14-04-2022,1.3074
15-04-2022,1.3059
16-04-2022,1.306
17-04-2022,1.3065
18-04-2022,1.3011
19-04-2022,1.3007
20-04-2022,1.3072
21-04-2022,1.3032
22-04-2022,1.2838
23-04-2022,1.2839
24-04-2022,1.2829
25-04-2022,1.2741
26-04-2022,1.2579
27-04-2022,1.2536
28-04-2022,1.2457
29-04-2022,1.2573
30-04-2022,1.2573
01-05-2022,1.2583
02-05-2022,1.2496
03-05-2022,1.2499
04-05-2022,1.261
05-05-2022,1.2372
06-05-2022,1.2339
